word,type,replacement,emotion,source
calandracas,adj.,mess,Neutral,pdf
calavera,n.,skeleton,Neutral,pdf+web
calawang,n.,rust,Concern,pdf+web
calayat,adj.,scattered,Concern,pdf
calcag,n.,unkempt hair,Neutral,pdf+web
calcetines,n,socks,Neutral,pdf+web
calcetín,n.,socks,Neutral,pdf
calculador,n.,calculator,Neutral,pdf
caldero,,metal pot,Neutral,pdf
caldo,,soup or stew,Neutral,pdf
calenta,,to heat or warm,Neutral,pdf
calentura,,fever,Neutral,pdf
calidad,,quality,Neutral,pdf
caliente,"""hot",warm,Neutral,pdf
caliente boca,,used when something bad happened because someone said it.,Neutral,pdf
calla,,to shut up,Neutral,pdf
callao,"""quiet",one is not talking,Neutral,pdf
calle,"""road",street,Neutral,pdf
calma,,to calm down,Neutral,pdf
calmao,"""calmed",relaxed,Neutral,pdf
calor,"""fever","heat, warmth",Neutral,pdf
cama,,bed,Neutral,pdf
cambal,,twin,Neutral,pdf
cambia,"""to change","replace, modify, transform, reform",Neutral,pdf
cambiao,"""changed","replaced, transformed, modified, reformed",Neutral,pdf
cambio,"""change","replacement, transformation, modification, reformation",Neutral,pdf
camello,,camel,Neutral,pdf
camina,"""to walk",to go to somewhere,Neutral,pdf
caminando,,walking,Neutral,pdf
camino,"""way","road, street",Neutral,pdf
camisa,"""shirt","cloth, blouse, polo shirt",Neutral,pdf
canal,,a narrow water passage or stream,Neutral,pdf
canalla,"""stingy","selfish, closefisted",Neutral,pdf
cancion,"""music",song,Neutral,pdf
canción,n,"music, song",Neutral,pdf
canda,"""of",from,Neutral,pdf
canta,,to sing,Neutral,pdf
cantidad,,quantity,Neutral,pdf
capitan,,captain,Neutral,pdf
capitán,n,captain,Neutral,pdf
cara,,face,Neutral,pdf
caratula,"""board","billboard, signage",Neutral,pdf
carga,"""to carry",lift,Neutral,pdf
cargamiento,,things or things to be carried or lift up,Neutral,pdf
cargando,,lifting,Neutral,pdf
cargo,"""things",products,Neutral,pdf
carnal,"""carnal",of relating to flesh,Neutral,pdf
carne,,meat,Neutral,pdf
caro,"""expensive","pricey, costly",Neutral,pdf
carpintero,,carpenter,Neutral,pdf
carta,,letter or correspondence,Neutral,pdf
casa,"""house",home,Neutral,pdf
casamiento,,wedding,Neutral,pdf
casao,"""married",a gun prepared to shoot,Urgency,pdf
caso,"""case","complain, issue, proportion",Neutral,pdf
castiga,"""to punish",castigate,Neutral,pdf
castigao,"""punished",castigated,Neutral,pdf
